what are bigos?	["Stew"]	["Polish food"]
what type of government did thomas jefferson prefer?	["Unitarianism"]	["President", "Vice President", "Governor", "Secretary of State"]
what countries require travel visas for us citizens?	["us"]	["CouchSurfing"]
where does the expression excuse my french come from?	["English Literature"]	["A&M Records", "Mushroom Records"]
when does the world end according to the mayans time?	["2012"]	["Birdemic: Shock and Terror", "The Birds"]
where do most illegal immigrants in the us come from?	["Mexico"]	["Pacific Ocean", "Mexico", "Canada", "Atlantic Ocean", "Gulf of Mexico"]
where is the fukushima daiichi nuclear plant located?	["Japan", "Okuma"]	["Japan", "Okuma"]
what countries have spanish as the national language?	["Spain"]	["The National: A Skin, A Night"]
what does egfr african american mean on a blood test?	["Protein"]	["Robert Parker", "Bernard Hopkins", "Mark Wade", "John Duren", "Brenda Clack", "John Celestand", "Ayanna Porter", "Frederick C. Branch", "Tracy Jackson", "Mire Chatman", "Minnie Carey", "Tracy P. Clark", "Kevin Martin", "William H. Lash", "Marvin Webster", "George W. Crockett, Jr.", "Elon James White", "Cory Alexander", "Edward Forchion", "Donnie Simpson", "Conrad Lynn", "Timothy C. Evans", "Palmer Hayden", "Henry Bannarn", "Norman Lewis", "Eva Jessye", "Effie Lee Newsome", "Mae V. Cowdery", "Georgia Douglas Johnson", "Meta Vaux Warrick Fuller", "Lorinza Harrington", "Jonathan Brown", "Jerome Henderson", "Sidney A. Ribeau", "James W. Washington, Jr.", "Jesse White", "Rodney White", "Rasaq", "Bruce Douglas", "Erick Barkley", "Clarence Holiday", "Ralph Biggs", "Pokey Chatman", "Raymond Lewis", "Joe Louis", "Marvin Gaye", "Al Green", "Donna Summer", "Kevin Johnson", "Ornette Coleman", "Will Smith", "Louis Jordan", "Al Sharpton", "Lil Wayne", "Dexter Gordon", "Missy Elliott", "Talib Kweli", "Lamont Dozier", "Sammy Davis, Jr.", "Blind Willie McTell", "Montell Jordan", "Jimmy Witherspoon", "Paul Robeson", "Teddy Wilson", "Art Blakey", "King Curtis", "Robert L. Johnson", "Billy Paul", "Jackie McLean", "Della Reese", "Wynton Marsalis", "Beyonc\u00e9", "Jimmy McGriff", "Barbara Hendricks", "Donald Byrd", "Philly Joe Jones", "Hazel Scott", "Johnny Bristol", "Milt Jackson", "Leroy Carr", "Clark Terry", "Boyd Tinsley", "John Lewis", "Hubert Laws", "Wesley Willis", "Juanita Hall", "Usher", "Frank Wilson", "Nas", "Meli'sa Morgan", "Mary J. Blige", "Jay-Z", "Anne Brown", "Erykah Badu", "Justin Smith", "DJ Premier", "Fats Domino", "Little Richard", "Kid Capri", "Brian Holland", "Colin Powell", "Elvin Jones", "Rick James", "Leontyne Price", "Michael Powell", "Harold Ford, Jr.", "Julia Perry", "Richelle Carey", "Octavia Spencer", "Walter Davis, Jr.", "Djimon Hounsou", "Ron Kirk", "Byron Long", "Charley Pride", "Jack DeJohnette", "McCoy Tyner", "Edward R. Dudley", "Roy Haynes", "Henry Grimes", "Rudolph Dunbar", "Ahmad Jamal", "Omarosa Manigault", "Forest Whitaker", "Billy Higgins", "Lisa Gay Hamilton", "Ving Rhames", "Stephanie Tubbs Jones", "Stanley Turrentine", "Janet Hubert", "Mario Van Peebles", "Adele Addison", "Kofi Kingston", "Nina Simone", "Timbaland", "Q-Tip", "Andre Braugher", "Sonny Stitt", "Melvin Barcliff", "Donna Brazile", "Keith David", "Eriq La Salle", "Bern Nadette Stanis", "Rodney O'Neal", "Lionel L. Nowell III", "Larry D. Thompson", "Michele Coleman Mayes", "Samuel C Scott III", "Marcus Thompson", "Alice Palmer", "Paula Kelly", "John Lee Hooker", "Penny Johnson", "Jackie Robinson", "Katherine Dunham", "Reggie Love", "Wayne M.  Hewett", "Hall Johnson", "Bennie Fowler", "Douglas Gaston", "Audra McDonald", "Ronald M. Pirtle", "Nathaniel Ayers", "Rutina Wesley", "Christian McBride", "Lorraine Toussaint", "Luther Henderson", "Mariah Carey", "Nelsan Ellis", "Desir\u00e9e Rogers", "Camille Nickerson", "John Wesley Work III", "Miles Davis", "Karan Ashley", "Cormega", "Doug E. Fresh", "Harvey Fuqua", "Maya Payne Smart", "Leslie Uggams", "Vondie Curtis-Hall", "Nature", "Bill Cobbs", "Ron Carter", "Michael Beach", "Tracie Thoms", "Hal Davis", "Franklyn Seales", "Ray Charles", "Undine Smith Moore", "Cozy Cole", "Leona Mitchell", "Michael Jackson", "Jester Hairston", "James DePreist", "Lisa P. Jackson", "Dean Dixon", "Anika Noni Rose", "Anthony Mackie", "Lawrence Gilliard Jr.", "Patrice O'Neal", "Simon Estes", "Moses Hogan", "Ella Fitzgerald", "Cindy Brunson", "Capone", "John Coltrane", "James Earl Jones", "Dizzy Gillespie", "Robert White", "Wendell Pierce", "Viola Davis", "Tony Williams", "Count Basie", "Eric Dolphy", "Bruce A. Young", "J. J. Johnson", "Ja Rule", "Stevie Wonder", "Andrew Young", "Redd Foxx", "Stanley Clarke", "Booker T. Jones", "Claude McKay", "Ossie Davis", "Ice Cube", "RZA", "Too $hort", "Dave Chappelle", "Danny Glover", "Tiffany Pollard", "Fredro Starr", "Rosario Dawson", "Sheila Jackson Lee", "Angela Bassett", "Bill White", "Steve Harris", "Saundra Quarterman", "Madre Hill", "Zutty Singleton", "Vivien Thomas", "Larenz Tate", "Steffi Jones", "Edward Holland, Jr.", "Rosalind Cash", "Kim Staunton", "Patricia Belcher", "D. J. White", "Jean-Michel Basquiat", "Amani Toomer", "Narada Michael Walden", "Tracy Morgan", "Felix da Housecat", "Malik Yoba", "Chi McBride", "Tim Story", "Stan Lathan", "Reynaldo Rey", "J. A. Preston", "Regina Hall", "Deon Richmond", "Michelle Hurd", "M. K. Asante", "Naya Rivera", "Clifton Powell", "Barry Shabaka Henley", "Giancarlo Esposito", "Ananda Lewis", "Katt Williams", "Glynn Turman", "Eric Turner", "Ella Joyce", "Isaiah Washington", "Greg Morris", "Arjay Smith", "Robert Ri'chard", "Briana Scurry", "Regina Taylor", "David Anthony Durham", "Rickey Smiley", "Olivia Cole", "Akon", "Mariann Aalda", "Leonard Jeffries", "Eddie Murphy", "C. J. Sanders", "Malinda Williams", "Vanessa L. Williams", "Reverend Gary Davis", "Mack 10", "Webbie", "Chino XL", "James Booker", "Ben Davis", "Charles Hamilton", "Don Pullen", "Makanda Ken McIntyre", "Samuel D. Pollard", "James McCune Smith", "Gregory Meeks", "Al Shearer", "Kenneth Washington"]
what kind of tennis racquet does serena williams use?	["Yetunde Price"]	["Two-handed backhand"]
what did john hancock do for the american revolution?	["Articles of Confederation", "United States Declaration of Independence"]	["Governor of Massachusetts", "President of the Continental Congress"]
what is the name of the currency used in switzerland?	["Swiss franc"]	["Swiss franc"]
what influenced william shakespeare to start writing?	["Thomas More", "Ovid", "Geoffrey Chaucer", "Plutarch", "Terence", "Thomas Kyd", "Plautus", "Michel de Montaigne", "John Pory", "Christopher Marlowe"]	["Christopher Marlowe", "Plutarch", "Terence", "Michel de Montaigne", "Seneca the Younger", "Virgil", "Ovid", "Thomas More", "Thomas Kyd", "Lucian", "Edmund Spenser", "Geoffrey Chaucer", "Plautus", "John Pory"]
what is the most common language spoken in argentina?	["Spanish Language"]	["Italian Language", "Spanish Language", "Yiddish Language"]
what was franklin d roosevelt's job before president?	["Governor of New York"]	["John Nance Garner", "Harry S. Truman", "Henry A. Wallace"]
what was the currency used in france before the euro?	["French franc", "Assignat"]	["French franc", "Assignat"]
where is the fukushima daiichi nuclear power station?	["Japan", "Okuma"]	["Japan", "Okuma"]
what character did billy d williams play in star wars?	["Lando Calrissian"]	["Star Wars: The Clone Wars", "The Star Wars Holiday Special", "Star Wars: Clone Wars", "Star Wars: Ewoks"]
what team did david beckham play for before la galaxy?	["Preston North End F.C."]	["A.C. Milan"]
what form of government do we have in the philippines?	["Constitutional republic", "Presidential system", "Republic", "Unitary state"]	["Presidential system", "Republic", "Unitary state", "Constitutional republic"]
what language do they speak in colombia south america?	["Spanish Language"]	["Spanish Language"]
who is the woman that john edwards had an affair with?	["Rielle Hunter"]	["United States Senator"]
when was the last time the dodgers won a championship?	["1988 World Series"]	["1981 World Series", "1963 World Series", "1959 World Series", "1988 World Series", "1965 World Series"]
what jobs did john adams have before he was president?	["Vice President of the United States"]	["Film Producer", "Actor", "Rapper"]
what led to the split of the republican party in 1912?	["Zachariah Chandler"]	["United States of America"]
what type of government was utilized in ancient egypt?	["House of Representatives", "Parliament of Egypt", "Shura Council"]	["Provisional government"]
who ran against abraham lincoln for president in 1860?	["Stephen A. Douglas"]	["United States of America"]
what is the song anna kendrick sings in pitch perfect?	["Cups"]	["Cups"]
what countries does canada have trade agreements with?	["United Kingdom", "Japan", "United States of America"]	["Japan", "United Kingdom", "United States of America"]
who was the first governor of colonial south carolina?	["Thomas Pinckney"]	["Carroll A. Campbell, Jr.", "Strom Thurmond", "Richard Irvine Manning III", "Nikki Haley", "Jim Hodges", "Thomas Pinckney", "James Henry Hammond", "Mark Sanford", "James F. Byrnes"]
what is the second biggest state in the united states?	["Hawaii"]	["Senator", "Secretary of State", "President pro tempore"]
what type of government was formed when italy unified?	["Parliamentary republic"]	["Constitutional republic", "Parliamentary republic", "Unitary republic"]
where is the galapagos islands located on a world map?	["Pacific Ocean", "Gal\u00e1pagos Province"]	["Pacific Ocean", "Gal\u00e1pagos Province", "Ecuador"]
where is the home stadium of the new england patriots?	["uk"]	["Gillette Stadium"]
who won the battle of gettysburg union or confederate?	["Union"]	["Confederate States of America", "Union", "Robert E. Lee", "George Meade"]
what kind of government system did ancient egypt have?	["Government of Egypt"]	["Provisional government"]
when is the last time the giants won the world series?	["2012 World Series"]	["2010 World Series", "2012 World Series"]
which of the following does australia export the most?	["Energy", "Agriculture"]	["Agriculture", "Energy"]
what is the only colony on the south america continent?	["French Guiana"]	["Brazil", "Jamaica", "North America", "United States of America", "Mexico", "Canada", "Argentina", "Costa Rica", "Dominican Republic", "El Salvador", "Guatemala", "Suriname", "Uruguay", "Barbados", "Bolivia", "Peru", "Colombia", "Chile", "Central America", "Collectivity of Saint Martin", "Haiti", "Nicaragua", "Venezuela", "Cuba", "Bahamas", "Ecuador", "Honduras", "Latin America", "Puerto Rico", "Paraguay", "Trinidad and Tobago", "Aruba", "Antigua and Barbuda", "South America", "South Georgia and the South Sandwich Islands", "French Guiana", "Guyana", "Grenada", "Guadeloupe", "Saint Kitts and Nevis", "United States Virgin Islands", "Bermuda", "Belize", "Cayman Islands", "Panama", "Caribbean", "Greenland", "Saint Lucia", "Cura\u00e7ao", "Falkland Islands", "Turks and Caicos Islands", "Montserrat", "Anguilla", "Dominica", "Martinique", "Saint Pierre and Miquelon", "British Virgin Islands", "Saint Barth\u00e9lemy", "Sint Eustatius", "Navassa Island", "Bonaire", "Saint Vincent and the Grenadines", "Saba", "Sint Maarten"]
when did the detroit pistons last win the championship?	["2004 NBA Finals"]	["2004 NBA Finals", "1990 NBA Finals", "1989 NBA Finals"]
when did the wright brothers created their first plane?	["1900 Wright Glider"]	["1902 Wright Glider", "Wright Flyer", "Wright Model C", "Wright Model B", "1900 Wright Glider", "Wright Model EX"]
what kind of currency does the dominican republic have?	["Dominican peso"]	["Dominican peso"]
what countries have english as their official language?	["Canada", "Australia", "Kingdom of Great Britain", "United States of America", "United Kingdom", "Ireland", "New Zealand"]	["Gondor", "United Federation", "Ranke", "Ruritania", "Kingdom of Zeal", "Arnor", "Soleanna", "Kingdom of Rhovanion", "Cryx", "Khador", "Cygnar", "Protectorate of Menoth", "Freedonia", "Grand Fenwick", "Breland", "Cheliax", "Rohan"]
who plays sheldon cooper mother on the big bang theory?	["Jim Parsons"]	["Jim Parsons"]
what did neil armstrong say when he landed on the moon?	["That's one small step for man, one giant leap for mankind."]	["One Small Step", "Going for Gold", "We All Knew"]
who did george w. bush run against for the second term?	["Al Gore"]	["George W. Bush Presidential Center", "United States Department of Homeland Security", "New Freedom Commission on Mental Health", "Transportation Security Administration", "Energy Task Force", "Clinton Bush Haiti Fund", "Arbusto Energy"]
when was the last time the orioles won the world series?	["1983 World Series"]	["1970 World Series", "1983 World Series", "1966 World Series"]
what did thomas jefferson do before he became president?	["Statesman", "Author", "Writer", "Philosopher", "Architect", "Lawyer", "Farmer", "Archaeologist", "Teacher", "Inventor"]	["Inventor", "Lawyer", "Writer", "Author", "Architect", "Teacher", "Philosopher", "Farmer", "Archaeologist", "Statesman"]
what country did the battle of san juan hill take place?	["Cuba"]	["Santiago de Cuba"]
what counties in florida have the lowest property taxes?	["Xanth", "JoJo's Bizarre Adventure"]	["United States of America"]
who plays nicholas newman on the young and the restless?	["Joshua Morrow"]	["Joshua Morrow"]
what are the names of the city states in ancient greece?	["Athens"]	["Theban state"]
when was the last time the ny knicks won a playoff game?	["1973 NBA Finals"]	["1973 NBA Finals", "1970 NBA Finals"]
who played darth vader at the end of return of the jedi?	["James Earl Jones"]	["James Earl Jones", "David Prowse", "Sebastian Shaw"]
what percentage of cases does the us supreme court take?	["United States of America"]	["Bartnicki v. Vopper", "Gibbons v. Ogden", "Dickinson v. United States", "Sanchez-Llamas v. Oregon", "Simmons v. United States", "Commissioner v. Wilcox", "Minnesota v. Mille Lacs Band of Chippewa Indians", "eBay Inc. v. MercExchange, L.L.C.", "The Paquete Habana", "Penn Central Transportation Co. v. New York City", "Pickering v. Board of Education", "Penry v. Lynaugh", "Webster v. Reproductive Health Services", "Edmonson v. Leesville Concrete Company", "Strauder v. West Virginia", "National Labor Relations Board v. Jones & Laughlin Steel Corporation", "Goldberg v. Kelly", "Linder v. United States", "National Treasury Employees Union v. Von Raab", "City of Philadelphia v. New Jersey", "Parratt v. Taylor", "Thomas v. Review Board of the Indiana Employment Security Division", "Immigration and Naturalization Service v. Abudu", "Saint Francis College v. al-Khazraji", "Jones v. Flowers", "Ledbetter v. Goodyear Tire & Rubber Co.", "Rasul v. Bush", "Brady v. Maryland", "Oregon v. Guzek", "Shapiro v. Thompson", "Lawrence v. Texas", "Hamdan v. Rumsfeld", "Hague v. Committee for Industrial Organization", "Board of Education v. Earls", "Gonzales v. Carhart", "Lochner v. New York", "Memoirs v. Massachusetts", "Hammer v. Dagenhart", "Largent v. Texas", "Oliphant v. Suquamish Indian Tribe", "Hazelwood v. Kuhlmeier", "Nixon v. United States", "United Mine Workers of America v. Bagwell", "Brown v. Entertainment Merchants Association", "Steward Machine Company v. Davis", "Tennessee v. Garner", "United States v. Forty Barrels and Twenty Kegs of Coca-Cola", "Burrow-Giles Lithographic Co. v. Sarony", "Tennessee Valley Authority v. Hill", "New York v. Ferber", "2003 term per curiam opinions of the Supreme Court of the United States", "R.A.V. v. City of St. Paul", "Hamdi v. Rumsfeld", "Boumediene v. Bush", "Enmund v. Florida", "Pierce v. Society of Sisters", "Marsh v. Chambers", "Hernandez v. Texas", "Schneider v. New Jersey", "Bowsher v. Synar", "County of Allegheny v. American Civil Liberties Union", "United States v. SCRAP", "Bailey v. Alabama", "Johnson v. M'Intosh", "James v. United States", "Brown v. Board of Education", "Will v. Michigan Department of State Police", "Dolan v. United States Postal Service", "Swann v. Charlotte-Mecklenburg Board of Education", "Ball v. United States", "Marshall v. Marshall", "Twining v. New Jersey", "Landmark Communications v. Virginia", "Mississippi University for Women v. Hogan", "Yick Wo v. Hopkins", "Braunfeld v. Brown", "Old Colony Trust Co. v. Commissioner", "McLaurin v. Oklahoma State Regents", "McLaughlin v. Florida", "Sturges v. Crowninshield", "Village of Belle Terre v. Boraas", "City of Richmond v. J.A. Croson Co.", "United Steelworkers v. Weber", "Sweatt v. Painter", "Cunningham v. California", "Rummel v. Estelle", "Citizens to Preserve Overton Park v. Volpe", "Doe v. Chao", "Insular Cases", "Brown v. Louisiana", "Cheek v. United States", "Texas v. Johnson", "District of Columbia v. Heller", "Wolf v. Colorado", "Kansas v. Marsh", "Stenberg v. Carhart", "Clinton v. Jones", "Epperson v. Arkansas", "Speiser v. Randall", "Edwards v. Aguillard", "United States v. Paramount Pictures, Inc.", "Herring v. United States", "Dickerson v. United States", "Jacobellis v. Ohio", "Spector v. Norwegian Cruise Line Ltd.", "Bush v. Gore", "Torcaso v. Watkins", "Oyama v. California", "American Well Works Co. v. Layne & Bowler Co.", "Celotex Corp. v. Catrett", "Fogerty v. Fantasy", "Vernonia School District 47J v. Acton", "Helicopteros Nacionales de Colombia, S. A. v. Hall", "Roth v. United States", "Nebbia v. New York", "Hanna v. Plumer", "Minersville School District v. Gobitis", "Brushaber v. Union Pacific Railroad", "Crawford v. Marion County Election Board", "Parents Involved in Community Schools v. Seattle School District No. 1", "Diamond v. Chakrabarty", "Little v. Barreme", "Immigration and Naturalization Service v. Elias-Zacarias", "Daubert v. Merrell Dow Pharmaceuticals", "Youngstown Sheet & Tube Co. v. Sawyer", "DeFunis v. Odegaard", "Payton v. New York", "MGM Studios, Inc. v. Grokster, Ltd.", "Muskrat v. United States", "Carey v. Musladin", "Newberry v. United States", "Griswold v. Connecticut", "Wooley v. Maynard", "Good News Club v. Milford Central School", "O'Connor v. Donaldson", "BP America Production Co. v. Burton", "Lum v. Rice", "Oregon v. Mitchell", "United States v. Salerno", "Loving v. Virginia", "Leary v. United States", "Silver v. New York Stock Exchange", "Marbury v. Madison", "Savana Redding v. Safford Unified School District #1", "Gonzales v. Raich", "United States v. Oakland Cannabis Buyers' Cooperative", "Roe v. Wade", "Illinois v. Caballes", "Hunt v. Cromartie", "New York v. United States", "Cantwell v. Connecticut", "Milliken v. Bradley", "Saia v. New York", "Northern Insurance Company of New York v. Chatham County", "Minor v. Happersett", "Farrington v. Tokushige", "Regents of the University of California v. Bakke", "Myers v. United States", "Campbell v. Acuff-Rose Music, Inc.", "Fletcher v. Peck", "United States v. Carolene Products Co.", "Republic of Austria v. Altmann", "Ake v. Oklahoma", "Wallace v. Cutten", "Hiibel v. Sixth Judicial District Court of Nevada", "Kelo v. City of New London", "Roberts v. United States Jaycees", "Lemon v. Kurtzman", "Gideon v. Wainwright", "Worcester v. Georgia", "Meritor Savings Bank v. Vinson", "Hirabayashi v. United States", "Ingraham v. Wright", "Buck v. Bell", "Luther v. Borden", "McCulloch v. Maryland", "Muller v. Oregon", "Taylor v. Taintor", "United States v. Matlock", "California Democratic Party v. Jones", "Miranda v. Arizona", "Slaughter-House Cases", "Santa Fe Independent School Dist. v. Doe", "Ex parte Madrazzo", "Smith v. Maryland", "Schenck v. United States", "Granholm v. Heald", "Tennessee v. Lane", "Hans v. Louisiana", "Festo Corp. v. Shoketsu Kinzoku Kogyo Kabushiki Co.", "Rankin v. McPherson", "Whitman v. American Trucking Associations, Inc.", "Poe v. Ullman", "Gray v. Sanders", "Diamond v. Diehr", "Atwater v. Lago Vista", "Benton v. Maryland", "Oregon Waste Systems, Inc. v. Department of Environmental Quality of Oregon", "Washington v. Glucksberg", "Ex parte Milligan", "Chambers v. Florida", "NLRB v. J. Weingarten, Inc.", "Nixon v. Shrink Missouri Government PAC", "Solem v. Helm", "United States v. Montoya De Hernandez", "Smith v. Allwright", "City of Akron v. Akron Center for Reproductive Health", "Hayburn's Case", "Dartmouth College v. Woodward", "Kumho Tire Co. v. Carmichael", "Kassel v. Consolidated Freightways Corp.", "Northern Pipeline Construction Company v. Marathon Pipe Line Company", "Missouri ex rel. Gaines v. Canada", "Time, Inc. v. Firestone", "United States v. Moreland", "Garcia v. San Antonio Metropolitan Transit Authority", "Village of Euclid v. Ambler Realty Co.", "Seminole Tribe of Florida v. Florida", "Crandall v. Nevada", "Lehnert v. Ferris Faculty Association", "Markman v. Westview Instruments, Inc.", "Kyllo v. United States", "Hunt v. Washington State Apple Advertising Commission", "Feres v. United States", "Colorado v. Connelly", "Intel Corp. v. Advanced Micro Devices, Inc.", "Harper & Row v. Nation Enterprises", "Bowers v. Hardwick", "United States v. Nixon", "Puerto Rico v. Branstad", "Cohen v. Cowles Media Co.", "In re Debs", "Mitchell v. Forsyth", "United States v. Ninety-Five Barrels Alleged Apple Cider Vinegar", "Houston E. & W. T. Ry. Co. v. United States", "Adams v. Texas", "New State Ice Co. v. Liebmann", "Schenck v. Pro-Choice Network of Western New York", "Cutter v. Wilkinson", "Lau v. Nichols", "Baze v. Rees", "Rumsfeld v. Padilla", "Wyoming v. Colorado", "Eastern Associated Coal Corp. v. Mine Workers", "Eli Lilly & Co. v. Medtronic, Inc.", "Owen Equipment & Erection Co. v. Kroger", "Ewing v. California", "Jones v. Alfred H. Mayer Co.", "Kennedy v. Louisiana", "Marsh v. Alabama", "Mathews v. Eldridge", "Pinkerton v. United States", "Furman v. Georgia", "American Insurance Company v. 356 Bales of Cotton", "Toolson v. New York Yankees", "Smith v. Doe", "MANual Enterprises v. Day", "California v. Acevedo", "Rose v. Locke", "Florida v. Bostick", "Wisconsin v. Yoder", "Feiner v. New York", "Ashcroft v. Free Speech Coalition", "Nix v. Whiteside", "Westside School District v. Mergens", "Hustler Magazine v. Falwell", "Tison v. Arizona", "Sheldon v. Sill", "Utah v. Evans", "Leegin Creative Leather Products, Inc. v. PSKS, Inc.", "Allen v. Wright", "Central Hudson Gas & Electric Corp. v. Public Service Commission", "Mistretta v. United States", "Londoner v. Denver", "Younger v. Harris", "Ex parte Quirin", "Arbaugh v. Y & H Corp.", "Giles v. Harris", "Joint Anti-Fascist Refugee Committee v. McGrath", "Sale v. Haitian Centers Council", "DeShaney v. Winnebago County", "Old Chief v. United States", "Bellotti v. Baird", "McConnell v. Federal Election Commission", "Atkins v. Virginia", "Egelhoff v. Egelhoff", "Pollock v. Farmers' Loan & Trust Co.", "Debs v. United States", "Watchtower Society v. Village of Stratton", "Peretz v. United States", "Lucas v. South Carolina Coastal Council", "Ohio v. Roberts", "Niemotko v. Maryland", "Frank Lyon Company v. United States", "Stuart v. Laird", "United States v. Southwestern Cable Co.", "Goldwater v. Carter", "Rumsfeld v. Forum for Academic and Institutional Rights, Inc.", "California v. Greenwood", "Calder v. Bull"]
what did niels bohr discover about the atomic structure?	["Bohr began to develop a model of the atom in which electrons were disposed in rings around the nucleus -- a first step towards an explanation of atomic structure."]	["Quantum mechanics"]
who was with president lincoln when he was assassinated?	["Ford's Theatre"]	["Hannibal Hamlin", "Andrew Johnson"]
what type of government does the us constitution set up?	["Presidential system", "Federal republic", "Representative democracy", "Two-party system", "Constitutional republic", "Republic"]	["Presidential system", "Federal republic", "Constitutional republic"]
what are members of the house of representatives called?	["Representative"]	["United States Representative", "Speaker of the United States House of Representatives", "Minority Whip of the United States House of Representatives"]
who was the original voice of meg griffin on family guy?	["Lacey Chabert"]	["Lacey Chabert", "Mila Kunis"]
who voiced darth vader in the original star wars movies?	["James Earl Jones"]	["James Earl Jones", "Jake Lloyd", "David Prowse", "Sebastian Shaw", "Hayden Christensen", "Matt Lanter", "Robert E. Bean"]
with which ancient ruler did julius caesar fall in love?	["Cornelia Cinna minor", "Pompeia", "Calpurnia Pisonis"]	["Pompeia", "Cornelia Cinna minor", "Calpurnia Pisonis"]
where is the euphrates and tigris river located on a map?	["Turkey", "Syria", "Iraq", "Iran"]	["Shatt al-Arab"]
what are some inventions that leonardo da vinci invented?	["Double hull", "Viola organista"]	["Aerial Screw", "Double hull", "Anemometer", "Viola organista", "Parachute", "Ornithopter", "Triple Barrel Canon", "33-Barreled Organ", "Diving suit", "Armored car"]
when was the last time the la kings won a playoff series?	["2012 Stanley Cup Finals"]	["2012 Stanley Cup Finals"]
who was the leader of the first communist party of china?	["Chen Duxiu"]	["Zhou Enlai", "Mao Zedong", "Chen Duxiu", "Li Dazhao"]
when were south australian women given the right to vote?	["Queensland", "Northern Territory", "Western Australia", "New South Wales", "Victoria"]	["The right to vote?"]
which country in north america is divided into provinces?	["Canada"]	["Jamaica", "United States of America", "Mexico", "Canada", "Costa Rica", "Dominican Republic", "El Salvador", "Guatemala", "Barbados", "Haiti", "Nicaragua", "Cuba", "Bahamas", "Honduras", "Trinidad and Tobago", "Antigua and Barbuda", "Grenada", "Saint Kitts and Nevis", "Belize", "Panama", "Saint Lucia", "Dominica", "Saint Vincent and the Grenadines"]
who is running for vice president with barack obama 2012?	["Joe Biden"]	["Joe Biden"]
who ran against bill clinton in the presidential election?	["George Bush"]	["Bill Clinton for Congress, 1974", "Bill Clinton presidential campaign, 1992", "Bill Clinton presidential campaign, 1996", "Bill Clinton for Arkansas Attorney General, 1976"]
what are the major languages spoken in the united kingdom?	["Scottish Gaelic language", "Scots Language", "British Sign Language", "Cornish Language", "Esperanto Language", "English Language", "Welsh Language", "Irish"]	["English Language", "Scots Language", "Irish", "Scottish Gaelic language", "Welsh Language", "Cornish Language", "Esperanto Language", "British Sign Language"]
what role did alexander hamilton play in the constitution?	["Financier"]	["United States Coast Guard", "United States Department of the Treasury", "Federalist Party", "Bank of New York"]
what other countries does south africa share borders with?	["Lesotho", "Zimbabwe", "Mozambique", "Swaziland", "Namibia", "Botswana"]	["Zimbabwe", "Botswana", "Mozambique", "Namibia", "Lesotho", "Swaziland"]
what are the 7 countries that are part of central america?	["Honduras", "El Salvador", "Panama", "Costa Rica", "Guatemala", "Gran Colombia", "Belize"]	["Americas"]
what is the average temperature in phoenix az in december?	["Phoenix should not be contained in Maricopa County."]	["85067", "85050", "85044", "85065", "85066", "85019", "85020", "85060", "85034", "85008", "85040", "85029", "85086", "85012", "85032", "85031", "85004", "85021", "85027", "85051", "85041", "85037", "85016", "85028", "85035", "85023", "85007", "85042", "85009", "85006", "85053", "85033", "85071", "85022", "85002", "85076", "85013", "85015", "85045", "85024", "85048", "85018", "85043", "85014", "85017", "85064", "85054", "85003", "85070", "85063", "85038", "85074", "85098", "85062", "85085", "85082", "85073", "85011", "85079", "85078", "85072", "85097", "85083", "85039", "85046", "85025", "85036", "85099", "85068", "85069", "85080", "85075", "85061", "85030", "85026", "85001", "85005", "85055", "85010"]
what are some of leonardo da vinci most famous inventions?	["Double hull", "Viola organista"]	["Leonardo", "The Life of Leonardo da Vinci", "The Secret Life of Leonardo Da Vinci"]
what did african americans do during the revolutionary war?	["Continental Army Regiment"]	["United States Secretary of the Treasury"]
what year did president william henry harrison take office?	["3/4/1841"]	["United States Representative", "United States Senator", "President of the United States"]
what year did the milwaukee brewers go to the world series?	["1974 Major League Baseball Season"]	["1970"]
when is the last time the denver broncos won the superbowl?	["Super Bowl XXXIII"]	["Super Bowl XXXII", "Super Bowl XXXIII"]
what year did houston rockets win their first championship?	["1994 NBA Finals"]	["1995 NBA Finals", "1994 NBA Finals"]
what do christians believe about heaven hell and purgatory?	["Greek Evangelical Church", "The Church of Nails"]	["Rebels in Hell", "Lawyers in Hell", "The Divine Comedy", "The Little Helliad"]
